"","StatedMonthlyIncome","LoanStatusGroup","count","RName"
"1",0,"Completed",948,1
"2",0,"Current",340,2
"3",0,"Past Due",42,3
"4",0,"Defaulted",637,4
"5",500,"Completed",285,5
"6",500,"Current",83,6
"7",500,"Past Due",7,7
"8",500,"Defaulted",165,8
"9",1000,"Completed",832,9
"10",1000,"Current",487,10
"11",1000,"Past Due",25,11
"12",1000,"Defaulted",534,12
"13",1500,"Completed",1129,13
"14",1500,"Current",912,14
"15",1500,"Past Due",57,15
"16",1500,"Defaulted",728,16
"17",2000,"Completed",2239,17
"18",2000,"Current",2003,18
"19",2000,"Past Due",120,19
"20",2000,"Defaulted",1411,20
"21",2500,"Completed",2690,21
"22",2500,"Current",2691,22
"23",2500,"Past Due",135,23
"24",2500,"Defaulted",1680,24
"25",3000,"Completed",3255,25
"26",3000,"Current",3941,26
"27",3000,"Past Due",179,27
"28",3000,"Defaulted",1761,28
"29",3500,"Completed",3007,29
"30",3500,"Current",3996,30
"31",3500,"Past Due",169,31
"32",3500,"Defaulted",1468,32
"33",4000,"Completed",3904,33
"34",4000,"Current",5825,34
"35",4000,"Past Due",226,35
"36",4000,"Defaulted",1771,36
"37",4500,"Completed",2653,37
"38",4500,"Current",4311,38
"39",4500,"Past Due",132,39
"40",4500,"Defaulted",1108,40
"41",5000,"Completed",2782,41
"42",5000,"Current",4392,42
"43",5000,"Past Due",149,43
"44",5000,"Defaulted",1103,44
"45",5500,"Completed",1813,45
"46",5500,"Current",3064,46
"47",5500,"Past Due",101,47
"48",5500,"Defaulted",705,48
"49",6000,"Completed",2465,49
"50",6000,"Current",4760,50
"51",6000,"Past Due",150,51
"52",6000,"Defaulted",875,52
"53",6500,"Completed",1489,53
"54",6500,"Current",2665,54
"55",6500,"Past Due",90,55
"56",6500,"Defaulted",543,56
"57",7000,"Completed",1376,57
"58",7000,"Current",2530,58
"59",7000,"Past Due",68,59
"60",7000,"Defaulted",435,60
"61",7500,"Completed",1062,61
"62",7500,"Current",1879,62
"63",7500,"Past Due",57,63
"64",7500,"Defaulted",301,64
"65",8000,"Completed",874,65
"66",8000,"Current",1714,66
"67",8000,"Past Due",54,67
"68",8000,"Defaulted",254,68
"69",8500,"Completed",963,69
"70",8500,"Current",1750,70
"71",8500,"Past Due",43,71
"72",8500,"Defaulted",268,72
"73",9000,"Completed",787,73
"74",9000,"Current",1526,74
"75",9000,"Past Due",47,75
"76",9000,"Defaulted",209,76
"77",9500,"Completed",411,77
"78",9500,"Current",718,78
"79",9500,"Past Due",22,79
"80",9500,"Defaulted",93,80
"81",10000,"Completed",590,81
"82",10000,"Current",1191,82
"83",10000,"Past Due",34,83
"84",10000,"Defaulted",161,84
"85",10500,"Completed",297,85
"86",10500,"Current",696,86
"87",10500,"Past Due",12,87
"88",10500,"Defaulted",106,88
"89",11000,"Completed",356,89
"90",11000,"Current",846,90
"91",11000,"Past Due",19,91
"92",11000,"Defaulted",88,92
"93",11500,"Completed",244,93
"94",11500,"Current",514,94
"95",11500,"Past Due",16,95
"96",11500,"Defaulted",72,96
"97",12000,"Completed",156,97
"98",12000,"Current",316,98
"99",12000,"Past Due",14,99
"100",12000,"Defaulted",54,100
"101",12500,"Completed",269,101
"102",12500,"Current",604,102
"103",12500,"Past Due",19,103
"104",12500,"Defaulted",78,104
"105",13000,"Completed",101,105
"106",13000,"Current",251,106
"107",13000,"Past Due",5,107
"108",13000,"Defaulted",34,108
"109",13500,"Completed",147,109
"110",13500,"Current",261,110
"111",13500,"Past Due",12,111
"112",13500,"Defaulted",37,112
"113",14000,"Completed",123,113
"114",14000,"Current",296,114
"115",14000,"Past Due",11,115
"116",14000,"Defaulted",27,116
"117",14500,"Completed",73,117
"118",14500,"Current",184,118
"119",14500,"Past Due",5,119
"120",14500,"Defaulted",32,120
"121",15000,"Completed",120,121
"122",15000,"Current",235,122
"123",15000,"Past Due",5,123
"124",15000,"Defaulted",31,124
"125",15500,"Completed",54,125
"126",15500,"Current",127,126
"127",15500,"Past Due",3,127
"128",15500,"Defaulted",21,128
"129",16000,"Completed",63,129
"130",16000,"Current",133,130
"131",16000,"Past Due",7,131
"132",16000,"Defaulted",14,132
"133",16500,"Completed",153,133
"134",16500,"Current",231,134
"135",16500,"Past Due",5,135
"136",16500,"Defaulted",48,136
"137",17000,"Completed",29,137
"138",17000,"Current",61,138
"139",17000,"Defaulted",13,139
"140",17500,"Completed",38,140
"141",17500,"Current",61,141
"142",17500,"Defaulted",6,142
"143",18000,"Completed",20,143
"144",18000,"Current",48,144
"145",18000,"Past Due",1,145
"146",18000,"Defaulted",4,146
"147",18500,"Completed",29,147
"148",18500,"Current",62,148
"149",18500,"Past Due",3,149
"150",18500,"Defaulted",8,150
"151",19000,"Completed",42,151
"152",19000,"Current",89,152
"153",19000,"Past Due",4,153
"154",19000,"Defaulted",16,154
"155",19500,"Completed",16,155
"156",19500,"Current",23,156
"157",19500,"Past Due",4,157
"158",19500,"Defaulted",8,158
"159",20000,"Completed",1,159
"160",20000,"Current",8,160
"161",20000,"Defaulted",1,161
